trial_count|1|2|3|4|5|6|7|8|9|10|11|12|13|14
block_count|1|1|1|1|2|2|2|2|3|3|3|3||
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||||||||||
experiment_version| | | | | | | | | | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||||||||||
trialType_order|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing
scoreRule_order||||||||||||||
attempts|700|700|700|700|700|700|700|700|700|700|700|700|700|700
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged||||||||||||||
consent_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented||||||||||||||
age||||||||||||||
gender||||||||||||||
handedness||||||||||||||
demographicsRTs||||||||||||||
demographics_duration|0|0|0|0|0|0|0|0|0|0|0|0|0|0
dots_accuracy|75|75|75|75|50|50|50|50|50|50|50|50|100|100
dots_staircase||||||||||||||
dots_majoritySide|right|left|right|right|right|right|left|left|right|right|left|right|left|left
dots_confidences|26|50|86|98|7|98|5|35|73|10|61|5|42|48
initial_choices|false|correct|correct|false|correct|correct|false|correct|false|false|correct|false|correct|correct
partner_confidences|55|67|66|60|55|61|70|69|87|77|84|93|85|84
dots_pairs|[200,300]|[300,200]|[200,300]|[200,300]|[200,267]|[200,282]|[282,200]|[300,200]|[200,300]|[200,300]|[300,200]|[200,300]|[300,200]|[300,200]
dots_isCorrect|false|false|true|true|false|true|false|false|true|false|true|false|false|false
dots_jointCorrect|false|true|true|true|false|true|false|true|true|false|true|false|true|true
dots_RTs|215743|278|321|648|536|371|525|690|456|1480|377|767|1322|540
dots_waitTimes|471007|9005|24434|7068|7207|5632|6365|10050|17259|21974|7374|8369|6070|4406
technical_issues||||||||||||||
feedback_strategy||||||||||||||
feedback_technical||||||||||||||
feedback_comments||||||||||||||
debriefing||||||||||||||
feedback_ratings||||||||||||||
