trial_count|3|4|5|6|7|8
block_count|-1|-1|0|0||
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||
experiment_version| | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||
trialType_order|all|all|all|all|all|all
scoreRule_order||||||
attempts|545|545|545|545|545|545
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged|true|true|true|true|true|true
consent_version|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented|true|true|true|true|true|true
age|36|36|36|36|36|36
gender|female|female|female|female|female|female
handedness|left|left|left|left|left|left
demographicsRTs|2490|2490|3137|3137|3518|3518
demographics_duration|9148|9148|9148|9148|9148|9148
dots_accuracy|100|100|100|100|50|50
dots_staircase||||||
dots_majoritySide|right|right|left|left|right|left
dots_confidences|73|70|60|61|40|61
initial_choices|false|false|correct|correct|false|correct
partner_confidences|50|50|71|69|84|20
dots_pairs|[200,300]|[200,267]|[267,200]|[255,200]|[200,255]|[267,200]
dots_isCorrect|true|true|true|true|false|true
dots_jointCorrect|||true|true|true|false
dots_RTs|831|680|338|785|370|397
dots_waitTimes|3445|3431|3711|3908|3380|3569
technical_issues||||||
feedback_strategy||||||
feedback_technical||||||
feedback_comments||||||
debriefing||||||
feedback_ratings||||||
