trial_count|1|2|3|4|5|6|7|8
block_count|-1|-1|-1|-1|0|0|0|0
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||||
experiment_version| | | | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||||
trialType_order|testing|testing|testing|testing|testing|testing|testing|testing
scoreRule_order||||||||
attempts|616|616|616|616|616|616|616|616
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged||||||||
consent_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented||||||||
age||||||||
gender||||||||
handedness||||||||
demographicsRTs||||||||
demographics_duration|0|0|0|0|0|0|0|0
dots_accuracy|100|100|100|100|100|100|100|100
dots_staircase||||||||
dots_majoritySide|right|left|right|right|left|right|left|right
dots_confidences|||||68|68|76|65
initial_choices|correct|correct|correct|correct|correct|correct|correct|correct
partner_confidences|50|50|50|50|50|50|50|50
dots_pairs|[200,300]|[300,200]|[200,267]|[200,267]|[245,200]|[200,245]|[237,200]|[200,237]
dots_isCorrect|true|true|true|true|true|true|true|true
dots_jointCorrect||||||||
dots_RTs|466|663|782|620|687|607|2119|574
dots_waitTimes|1770|1969|2112|1948|4678|3256|5382|3625
technical_issues||||||||
feedback_strategy||||||||
feedback_technical||||||||
feedback_comments||||||||
debriefing||||||||
feedback_ratings||||||||
