trial_count|1|2|3|4|5|6|7|8
block_count|-1|-1|-1|-1|0|0|0|0
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||||
experiment_version| | | | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||||
trialType_order|testing|testing|testing|testing|testing|testing|testing|testing
scoreRule_order||||||||
attempts|619|619|619|619|619|619|619|619
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged||||||||
consent_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented||||||||
age||||||||
gender||||||||
handedness||||||||
demographicsRTs||||||||
demographics_duration|0|0|0|0|0|0|0|0
dots_accuracy|75|75|75|75|75|75|75|75
dots_staircase||||||||
dots_majoritySide|right|left|right|right|left|right|right|right
dots_confidences|||||74|35|71|72
initial_choices|false|correct|correct|correct|correct|false|correct|correct
partner_confidences|50|50|50|50|50|50|50|50
dots_pairs|[200,300]|[300,200]|[200,300]|[200,267]|[267,200]|[200,255]|[200,267]|[200,267]
dots_isCorrect|false|true|true|true|true|false|true|true
dots_jointCorrect||||||||
dots_RTs|379|665|513|758|464|855|511|621
dots_waitTimes|1704|1999|1842|2088|4607|3758|3362|3959
technical_issues||||||||
feedback_strategy||||||||
feedback_technical||||||||
feedback_comments||||||||
debriefing||||||||
feedback_ratings||||||||
