trial_count|1|2|3|4|5|6|1|2|3|4|5|6|7|8|9|10|11|12|13|14
block_count|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1||||
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||||||||||||||||
experiment_version| | | | | | | | | | | | | | | | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||||||||||||||||
trialType_order|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing|testing
scoreRule_order||||||||||||||||||||
attempts|597|597|597|597|597|597|597|597|597|597|597|597|597|597|597|597|597|597|597|597
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged||||||||||||||||||||
consent_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented||||||||||||||||||||
age||||||||||||||||||||
gender||||||||||||||||||||
handedness||||||||||||||||||||
demographicsRTs||||||||||||||||||||
demographics_duration|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
dots_accuracy|67|67|67|67|67|67|67|67|67|67|67|67|75|75|75|75|75|75|75|75
dots_staircase||||||||||||||||||||
dots_majoritySide|right|left|right||||right|left|right||||right|right|right|left|right|right|left|left
dots_confidences|||||||||||||26|69|64|68|24|65|64|72
initial_choices|false|false|correct|correct|correct|correct|false|false|correct|correct|correct|correct|false|correct|false|correct|false|correct|correct|false
partner_confidences|50|50|50|50|50|50|50|50|50|50|50|50|50|50|50|50|83|82|85|14
dots_pairs|[200,300]|[200,300]|[300,200]|[300,200]|[200,267]|[200,267]|[200,300]|[200,300]|[300,200]|[300,200]|[200,267]|[200,267]|[200,255]|[200,267]|[200,267]|[255,200]|[200,255]|[200,261]|[261,200]|[255,200]
dots_isCorrect|false|false|true|true|true|true|false|false|true|true|true|true|false|true|true|true|false|true|true|true
dots_jointCorrect|||||||||||||||||true|true|true|false
dots_RTs|353|353|455|455|17051|17051|353|353|455|455|17051|17051|340|395|316|445|276|488|347|294
dots_waitTimes|1370|1371|1482|1483|18054|18054|1370|1371|1482|1483|18054|18054|7157|3146|3155|3053|4193|4500|3409|3566
technical_issues||||||||||||||||||||
feedback_strategy||||||||||||||||||||
feedback_technical||||||||||||||||||||
feedback_comments||||||||||||||||||||
debriefing||||||||||||||||||||
feedback_ratings||||||||||||||||||||
