trial_count|1|2|3|4|5|6|7|8|9|10|11|12
block_count|-1|-1|0|0|1|1|2|2|3|3||
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||||||||
experiment_version| | | | | | | | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||||||||
trialType_order|all|all|all|all|all|all|all|all|all|all|all|all
scoreRule_order||||||||||||
attempts|544|544|544|544|544|544|544|544|544|544|544|544
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged|true|true|true|true|true|true|true|true|true|true|true|true
consent_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented|true|true|true|true|true|true|true|true|true|true|true|true
age|38|38|38|38|38|38|38|38|38|38|38|38
gender|prefer not to say|prefer not to say|prefer not to say|prefer not to say|prefer not to say|prefer not to say|prefer not to say|prefer not to say|prefer not to say|prefer not to say|prefer not to say|prefer not to say
handedness|left|left|left|left|left|left|left|left|left|left|left|left
demographicsRTs|4017|4017|5657|5657|3593|3593||||||
demographics_duration|13273|13273|13273|13273|13273|13273|13273|13273|13273|13273|13273|13273
dots_accuracy|100|100|100|100|50|50|100|100|100|100|100|100
dots_staircase||||||||||||
dots_majoritySide|right|left|right|right|right|right|right|right|left|right|right|right
dots_confidences|68|100|98|89|41|69|35|66|100|82|67|66
initial_choices|false|correct|correct|correct|false|correct|false|false|correct|correct|correct|correct
partner_confidences|50|50|79|70|15|85|89|83|59|65|73|60
dots_pairs|[200,300]|[300,200]|[200,267]|[200,267]|[200,245]|[200,255]|[200,255]|[200,267]|[267,200]|[200,255]|[200,255]|[200,250]
dots_isCorrect|true|true|true|true|false|true|false|true|true|true|true|true
dots_jointCorrect|||true|true|false|true|true|true|true|true|true|true
dots_RTs|2194|2331|2473|1684|3122|1873|5114|1159|680|2281|1733|1235
dots_waitTimes|107384|9112|11629|8640|9928|8857|211225|86939|9661|85388|9188|8561
technical_issues||||||||||||
feedback_strategy||||||||||||
feedback_technical||||||||||||
feedback_comments||||||||||||
debriefing||||||||||||
feedback_ratings||||||||||||
