trial_count,1,2,3,4,5,6
subjectID,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806
prolificID,,,,,,
experiment_version, , , , , , 
experiment_version_date,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10
experiment_condition,,,,,,
trialType_order,testing,testing,testing,testing,testing,testing
scoreRule_order,,,,,,
attempts,465,465,465,465,465,465
CUREC_ID,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001
CUREC_version,5.0,5.0,5.0,5.0,5.0,5.0
CUREC_date,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12
PIS_version,1.0,1.0,1.0,1.0,1.0,1.0
PIS_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
PIS_acknowledged,,,,,,
consent_version,1.0,1.0,1.0,1.0,1.0,1.0
consent_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
consented,,,,,,
age,,,,,,
gender,,,,,,
handedness,,,,,,
demographicsRTs,,,,,,
demographics_duration,0,0,0,0,0,0
dots_accuracy,100,100,100,100,100,100
dots_isTutorialMode,,,,,,
dots_staircase,,,,,,
dots_majoritySide,right,left,right,right,left,right
dots_confidences,62,67,65,58,70,57
initial_choices,false,correct,false,false,correct,false
partner_confidences,50,50,50,82,70,63
dots_pairs,[200,300],[300,200],[200,267],[200,267],[245,200],[200,245]
dots_isCorrect,true,true,true,true,true,true
dots_jointCorrect,,,,true,true,true
dots_RTs,270,880,834,310,784,740
dots_waitTimes,2339,2869,3263,3119,3405,3571
technical_issues,,,,,,
feedback_strategy,,,,,,
feedback_technical,,,,,,
feedback_comments,,,,,,
debriefing,,,,,,
feedback_ratings,,,,,,
