trial_count|1|2|3|4|5|6|7|8
block_count|-1|-1|-1|-1|-1|-1|-1|-1
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||||
experiment_version| | | | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||||
trialType_order|testing|testing|testing|testing|testing|testing|testing|testing
scoreRule_order||||||||
attempts|592|592|592|592|592|592|592|592
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged||||||||
consent_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented||||||||
age||||||||
gender||||||||
handedness||||||||
demographicsRTs||||||||
demographics_duration|0|0|0|0|0|0|0|0
dots_accuracy|100|100|100|100|75|75|75|75
dots_staircase||||||||
dots_majoritySide|right|left|right||left|right|left|right
dots_confidences|||||64|63|62|35
initial_choices|correct|correct|correct|correct|correct|false|correct|false
partner_confidences|50|50|50|50|50|50|50|50
dots_pairs|[200,300]|[200,300]|[267,200]|[267,200]|[245,200]|[200,245]|[237,200]|[200,237]
dots_isCorrect|true|true|true|true|true|true|true|false
dots_jointCorrect||||||||
dots_RTs|680|680|725|725|279|375|559|560
dots_waitTimes|1603|1604|1636|1636|3812|4301|3334|5258
technical_issues||||||||
feedback_strategy||||||||
feedback_technical||||||||
feedback_comments||||||||
debriefing||||||||
feedback_ratings||||||||
